I/E,N/S,T/F,J/P,Essay
I,S,T,J,"My first 4 months at the EDSA have been filled with many new experiences; some of which were challenges, others were joyful, but all of them have resulted in positive growth for me as a person.

---Meeting new people---
I enjoy meeting new people and everyone I have met at EDSA has been pleasant. I have particularly enjoyed listening to the backgrounds of the strongest candidates within EDSA, as this provided insight into how they gained their experience in tools like python & SQL. I also cherish being able to build a network with the data scientists of tomorrow as well as established industry professionals.. 

---Working together in the lab---
Working in a computer lab as a formal work environment comes with its pros & cons. 
It's useful to have 99 colleagues, supervisors & facilitators who can provide a technical/personal support net if necessary.
An obvious con would be the noise distraction  - but at least I can say I know all the trending music albums of  2018, WIN!

---Working in teams & team dynamics---
I've worked on team projects and solo projects in a professional work environment. I enjoy both.
From my experience I would say a team works best when there's a team co-ordinator with a plan OR when the work is divided and conquered (provided everybody takes full responsibility for their part)

All the members of our first group were noobs to SQL & Python, and the gather and analyse phases really exposed our technical deficiencies and resulted in a lot of frustration when it came time to delivering on tasks. This experience took me out of my comfort zone and was an important lesson in patience for us all.

Our second group had a high level of experience, a strong team co-ordinator and team members who took full responsibility for their tasks. Even though the work was more complex it was a comfortable team dynamic.  

---How decisions in teams were made and are they consistent with how I make decisions---
Team decisions in both groups were made through deliberation. Decisions were easier to make if a person presented clear points on what their opinion was. Because our group dynamic was so strong decision making felt natural, very similiar to if I had to make the decision on my own.

---How rational or how emotional has the decision making process been---
If somebody had the technical knowledge then they could provide their interpretation of the best solution. 
If a problem required research then that would take place and we would then rely on rational and logical thinking to arrive at a solution. 
Regarding emotions, I used the open communication channels with facilitators and supervisors to discuss my emotions as opposed to letting emotions making project decisions. 

---Overall---
In my previous role as an electrical designer I was smitten by data analytics within the electricity metering sector. 
EDSA has provided the platform for me to pursue this passion on a broader scope of data using market leading tools  and most importantly to upgrade my own skill-set thus opening up new opportunities for me within the workplace."
I,N,F,J,"I joined the academy being at a crossroads of sorts in my life.  The academy offered me an opportunity to pivot my career out of engineering into data science after being unfairly dismissed and struggling to find employment as a result.

Meeting 100+ (faculty and students) new people who would now be part of my life for a whole year was something to get used to, even though I have worked for multinational companies. My ability to deal with people from different backgrounds, beliefs, etc. have been tested during the group work.  Needless to say that it can lead to tension in one's life if team mates are not pulling their weight.

Team dynamics are always a learning process/curve, thankfully it has not been a bad experience up till now. Needless to say, people try and cheat the system, act dishonestly and sometimes are just plain lazy. Many are too opinionated and are thus rendered incapable of making a great contribution.

My way of doing things is to always consider everyone's well-being, opinions and contributions.  Somehow some persons think its OK to be cynical and unhelpful.  At the end of the day, we are all supposed to be here to learn and become data scientists.  I can work on myself, to improve daily. That is what I will do."
E,N,F,J,"so far my experience has been positive and i can definitely see the value in the course. The experience of working with different people has been valuable to me. What has worked well has been the attitude that everyone in the team has to deliver and take responsibility. It has been difficult to step back and trust the team you work with, however in most cases team members have exceeded my expectations. I have felt a bit frustrated when team members have not applied themselves or have taken a substandard lazy approach to problems. I like to get stuck into something and get immediate results and improve from there. I think this approach has worked well however i have also learnt allot from team members who have a more structured and task based approach. Allot of time we spent on tangents that did not add value to the projects however some of the tangents either paid off in results or there was learnings we took from them. Our decision making approach has been to generate ideas and create a structured work flow around the ideas then distribute the work among individuals who take interested in the work flow. When we have conflicting ideas we typically took a democratic approach combined with some healthy debate. I find that i build relationships with the people I'm in teams with. This is when i get to know them the best. My strongest connections have been with my team members but also other people in the academy who i can learn from. I took the team on a bit of a data collecting tangent on the last sprint which was not necessarily the most productive use of time and could have been avoided if we understood the problem better. This was one case when i was probably too assertive on the team, however the way i like to make decisions is to get stuck into a workflow stream and adapt as you go and we didn't have supervisor direction at that point. I find the environment to be very stimulative and i enjoy going around to other teams and see what they are working on. I have a good relationship with some people and they are happy to share what they are working on which is great. I have also found the environment distracting at times, I would like to help people and I get satisfaction out of doing so, however I'm also not here to do that. Working with different people and mixing it up regularly is something Im excited about because everyone has such different learnings and experience and theres something to learn from everyone."
I,N,F,J,"I have been very fortunate to have the opportunity to join the academy this year. I have not been sure about my career choice, and as such the academy provided me with a great chance to change career paths. This will help me in choosing a new path and allow me to eventually reach my larger goals in life. Moving to Cape Town and joining the academy has not been too challenging, as I already knew two people in the academy before joining. This however made it a bit more difficult making new friends. I am typically more reserved, and do not easily make new friends, especially if I already have some good friends, in which case I do not see the reason to make new friends. 
Working in teams at the academy has been a great challenge for me. I normally prefer to work at my own pace and working in a team forced me to cooperate with other people and adjust to their skill levels. This sometimes meant taking on more of the work than has been allocated to me. In addition to this, if found it difficult working with individuals who were not as invested as I am in the projects and who were not aiming to learning as much from this experience as I intend to. 
Within our teams until now, leadership has been quite lacking. I typically do not like forcing myself onto other people, but in these circumstances, I was forced to take the lead in the projects. While taking the lead I tried my best to lead from behind, making sure that I had consensus within the team before deciding. Generally due to the lack of experience of one of my teams, this meant that I had to think of a plan, and the execution thereof, followed by the team implementing it without challenging the ideas laid out. This approach worked well, but I would have liked a greater input from the team, as it is unsustainable and if I left would render the team incapable of functioning properly. 
In my other team, people were much more competent and because we were only four members, decisions were much easier to take. We all had a good idea of what to do, but I was still elected as the leader, a role which were much more organic this time, and we had a much more balanced and consensual way of making decisions. However, the completion of tasks effectively was still not perfect when I left. While the teams struggled in making decisions, we never experienced conflict and we were generally not emotional when making decisions."
I,N,T,J,"Looking back to when one got to the academy and where I am right now, I can confidently say that I have grown not only intrapersonally but interpersonally and my optimistic perception of working with has also gradually shifted to the realistic end of the spectrum. I came with nothing but a positive outlook on the journey I had gotten an opportunity to embark on, however, I have learned a couple of valuable lessons - one of which stand out is the value of understanding your teammates before expecting any one of them to understand you. This has put by far put a cap on my assertive nature which has gotten me through a lot f pressure and given me an opportunity to even sharpen more of my softer skills which tends o help me quite a lot even outside the academy for I am a good vibe generator - one who only deflects negative energy with positive energies in whatever spheres I happen to find myself in. 

Getting to know my colleagues has been very exciting and I had initially thought I would do my best to get to know everyone due to knowing the underlying power of networking and how much you tend to ripe the rewards when you least expect it. However, due to various factors including time constraints, one hasn't yet gotten to know everyone. Nonetheless, all those that I've connected with have in a way pivoted me with the range of experiences they've been exposed to and if anything - I've found that if one connects with colleagues not only because of duties but to get a better understanding of who they really are and what drives them out of bed in the morning then there tends to be a relative ease of synergies when working with those people in a group. With this foundation only does good teamwork come into play which has proven to be crucial in implementing and fulfilling a common goal quicker.

Establishing people's unique abilities also hasn't been the easiest of tasks, this is one of the things that has by far made role or duty allocations a bit messy in groups. With this in mind when the team makes decisions which are usually made through a voting process duties tend to be easily misallocated which does not accord with how effectiveness is leverage (by exploiting each team member unique abilities to motivate everyone to play up their strengths and avoid their weaknesses with a proper balance).

Teamwork is not an easy job but it can be very exciting at the same time but it only takes one individual can have to break down a firm structure especially if that individual wants to make all the decisions- such hinders progress and flow of ideas in the team which in turn leads to a dull and average outcome.
  
I've found some of the decision-making techniques a bit irrational due to how central they tend to be especially when you find yourself in a group with nice people who will not express how they feel to whoever is doing so.  Over and above I have learned to only focus on making sure that what’s expected of me is delivered timely and not to miss the beauty of the process while focussing on relatively small hurdles when there’s a vast amount captivating material to engage  in.


Getting to know my colleagues has been very exciting and I had initially thought I would do my best to get to know everyone due to knowing the underlying power of networking and how much you tend to ripe the rewards when you least expect it. However, due to various factors including time constraints, one hasn't yet gotten to know everyone. Nonetheless, all those that I've connected with have in a way pivoted me with the range of experiences they've been exposed to and if anything - I've found that if one connects with colleagues not only because of duties but to get a better understanding of who they really are and what drives them out of bed in the morning then there tends to be a relative ease of synergies when working with those people in a group. With this foundation only does good teamwork come into play which has proven to be crucial in implementing and fulfilling a common goal quicker.

Establishing people's unique abilities also hasn't been the easiest of tasks, this is one of the things that has by far made role or duty allocations a bit messy in groups. With this in mind when the team makes decisions which are usually made through a voting process duties tend to be easily misallocated which does not accord with how effectiveness is leverage (by exploiting each team member unique abilities to motivate everyone to play up their strengths and avoid their weaknesses with a proper balance).

Teamwork is not an easy job but it can be very exciting at the same time but it only takes one individual can have to break down a firm structure especially if that individual wants to make all the decisions- such hinders progress and flow of ideas in the team which in turn leads to a dull and average outcome.
  
I've found some of the decision-making techniques a bit irrational due to how central they tend to be especially when you find yourself in a group with nice people who will not express how they feel to whoever is doing so.  I've also learned how to never bring my emotions to the workplace because people tend to step on sensitive things without noticing- for example having someone staring on your shoulder and commenting on the work you're doing is quite unpleasant and kills you moral but detaching from all of that and focusing on what's required has been the best of coping mechanisms."
I,S,F,P,"My overall experience at the academy so far has been great and somewhat challenging.

Firstly a team leader was elected for the team; the tasks were disturbed among the other members. There was no disagreement during team meetings. While we achieved our aim, all members were satisfied. The team achieved their aim but more could have been done if we had more time.

Allocation of work and workloads were decided by the team leader after discussing with the team. There were no arguments about the workload. The team leader assumed that everyone was on the same level. Some questions were answered but most were not answered to satisfy all members. Individual members needed to do extra research if their questions were to be answered properly. 

As a team we were able to work together, reliable and tried our level best to be punctual for our meetings. We allocated different tasks to each other and each person researched thoroughly and we co-ordinated our findings together as team and asked for support when needed. This personally helped me as an individual to be confident, however it was a bit of a strain to keep up with my mates as some have a vast experience in programming and statistics and sometimes I felt incompetent in the tasks given, but it helped me to gain knowledge and pushed me to learn harder.

The role played by the team members was that of a team player, several suggestions were made by everyone in the team and some of them were adopted. The team was selective in adopting new ideas.

The team worked well, agreements were reached on almost all issues but little new information was gained by all members. We believe that team work was an ideal method for quick information gathering, as learning by oneself is time consuming and tiresome. 

I believe I contributed effectively to the team by being reliable although I was a bit hesitant during the first stages because I had to adjust to different characters and communicate freely and not be afraid of being judged

I believe that group work is essential and would not mind working in the same team again as the aim of the team was achieved."
I,N,F,P,"When I got to the Academy, I felt like I didn't belong here. I felt out of place. I am a person who doesn't like to talk to people out of my own. So as people approached me, I got to know them. Getting to know my fellow classmates, made me realise that they are feeling similar emotions to what I'm feeling. I've met lots of like minded people. I personally like to work alone, working in a group has always been difficult for me. The Academy has made this easier for me. Forcing me to work on my teamwork skills. More often than not, there's been a group member who takes charge, keeping the team focused on the shared end goal."
I,N,T,J,"Attending the Explore Data Science Academy has already proven, and continues to be an amazing experience. It’s quite astonishing when you realize how much you’ve learned and mastered in the past couple of months, chief among which would be (and the subject of this essay), teamwork.

Meeting new people can be a daunting task for some (including myself). However at the academy it has been different from the start. The sheer excitement of all of the students and especially the Explore team (supervisors and facilitators) acted as a social catalyst, smoothing over any social awkwardness, and before we knew it we were getting along like a house on fire.

Working in teams with people from completely different backgrounds and personalities has been challenging throughout the first project, but with that being said, it has also been very interesting to see how each individual adapts to accommodate the team and to help build the team dynamic. Starting with the Cape Town Water Crisis project I honestly had no idea what to expect, and certainly didn’t expect team dynamic to play such a huge role in the success of the deliverables. The team had to overcome different levels of knowledge, skills, and self motivation. After a couple of late nights and flared tempers we managed to get the work done, and we only then realised that we overlooked the most crucial part of teamwork. Not only does one need self motivation, but also create an environment in the team to motivate each other and to be comfortable enough to ask for help when you’re feeling overwhelmed or struggling to get to grips with a difficult concept. Our team was definitely lacking that aspect, so we had to take it on the chin in regards to the deliverables, but walked away with learning this priceless lesson moving into the next sprint.

As we were assigned new teams for the RSA Stock Market sprint, it was refreshing to hear that we weren’t the only team that struggled with certain aspects of the team dynamics. 

From the get go we approached a more structured and interactive way of doing things. We decided to have stand up meetings every morning to report on the previous day’s goals as well as setting new goals for the day ahead. This already made a huge difference in the motivation of the team. Another part of our success was dividing the work so that we didn’t get overwhelmed as individuals but rather sharing the workload and having one-on-ones with the relevant team members to gain a deeper understanding on their section of the work.

This approach had even more advantages than we thought. Having more structure and communication between team members lead to lower stress levels(even though it was still ever present), resulting in cooler tempers and clear headed decisions that were less emotionally-driven than the first project.

Just goes to show that “soft” skills are just as important as technical skills when working in teams. Can’t wait to learn what I can from the brilliant and diverse people at the academy.

""Individual commitment to a group effort--that is what makes a team work, a company work, a society work, a civilization work."" --Vince Lombardi"
I,N,T,P,"what a wonderful place to be ,a place where in waking up in the morning is an easy task with the great desire of learning something new everyday. Meeting new people was the great thing to me because i had to learn how to work in a team and also socialize since i am not the person that do well in the crowd.

It was actually my first time working in the lab like this for some reason that my experience of labs was quite an instrumentals labs for testing experiments with no computers ,not that we didn't have computer labs but because it is my first time coding in the lab the reason why coming to EDSA was my first choice . The skills as a data scientist is the one that drove to apply and wanna learn coding. I have learned a lot by being in the lab and also working as a team.

One of the main problem i faced is working in a team or group rather,some groups are perfect that you might wish not to change again as for some its a disaster.Sometimes you set up time slots for the group to meet so as to discuss the progress of the deliverable and you will be very surprised when only one member pitch up or only you having thought that we have a lot of work to do,this is so disappointing and i would mostly prefer working alone in the future.

Working in a team is sometimes emotional draining but with decision to divide and conquer we could work together well. I am hoping to be in a great team of smart people that need not be told what to do since every sprint has on it ""to do lists"" ."
I,S,F,P,"The start of the academy was quite tricking due to meeting new people, unknown environment being away from home and family proved to be tricky.
First fundemnental sprint was extrememely challenging as memebers of the group failed to help and work on the assignment hence resulting in a lot of friction and stress. poor coomunication and bad attendance at critical times. resulting in wasted time having to send a message finding out the nessecary details from that perosn thus wasting time. 
Some of the problems of poor team dymanics was not dealt with as memebers did not realise the importanace of good team dynamic in order to complete the set out task. 
The next sprint was alot better as the group was organised and everyone commited to there assigned task which was intially lacking in the prior sprint. the group communicated effectiely in term of any problems incountered.
First sprint did reveal emotional weakness in the team as memebers where unable to keep up and instead of moving foward broke away and decided to give up instead of still trying to help the team with the current assign task. 
Second sprint was clear cut as the division of the two teams helped as those left were all that were driven and knew what was expected of them."
