,ZAR/USD,Value of Exports (USD),Value of Exports (ZAR),Value of Imports (USD),Value of Imports (ZAR),IMF Reserve Position (USD),Foreign Exchange (USD),Claims on Non-residents (USD),Liabilities to Non-residents (USD),Savings Rate,Lending Rate,Government Bonds,"Financial Market Prices, Equities Index",Consumer Price Index
2008M01,7.01,5611.9,39356.82,8105.11,56841.94,1.92,29526.78,51547.61,37752.29,4.53,14.5,8.36,312.97,85.48
2008M02,7.66,6126.16,46946.33,8159.43,62527.78,2.01,29943.04,59702.31,45927.67,5.61,14.5,8.69,335.09,85.91
2008M03,7.97,6417.48,51150.89,8010.87,63851.12,2.05,30246.54,56448.18,42565.17,5.62,14.5,9.16,348.84,87.04
2008M04,7.79,7215.71,56174.34,9112.97,70944.49,2.03,30399.21,55534.75,43342.7,5.8,15,9.15,358.47,87.61
2008M05,7.62,7379.67,56240.45,9090.14,69275.97,2.1,30467.81,57682.89,46533.13,6.5,15,9.51,371.98,88.32
2008M06,7.92,7595.95,60159.93,8379.54,66365.94,2.12,30736.15,59080.19,47366.49,7.13,15.5,10.35,356.82,89.6
2008M07,7.63,8034.45,61268.16,10589.92,80755.37,2.1,30936.15,54258.57,44740.78,7.22,15.5,10.1,317.62,90.88
2008M08,7.66,7882.49,60390.94,8995.88,68921.01,2.09,30614.02,49661.08,41108.47,7.24,15.5,9.2,308.21,91.44
2008M09,8.06,7579.28,61067.34,8928.3,71936.53,2.07,30482.71,50309.76,40608.04,7.06,15.5,9.04,288.18,92.01
2008M10,9.74,6737.19,65652.57,8141.32,79335.56,1.98,29600.99,55934.07,48338.35,7.31,15.5,9.24,233.78,92.3
2008M11,10.1,5335.24,53877.9,6910.18,69782.47,2,29604.44,54700.75,43913.7,6.57,15.5,8.58,216.39,92.3
2008M12,9.97,4866.64,48541.09,6108.6,60928.72,2.07,30237.83,56996.35,48065.7,6.96,15,7.82,226.89,92.15
2009M01,9.9,3662.05,36251.75,6295.88,62324.8,2.03,29674.31,53435.7,46028.49,7.28,15,7.85,77.17,92.72
2009M02,10.01,4403.4,44061.75,4725.01,47279.82,1.99,29602.39,50953.92,43800.44,6.65,14,8.26,73.49,93.57
2009M03,10.47,4991.65,52267.6,5322.34,55730.27,2.02,30040.34,51463.15,44624.8,5.89,13,8.43,71.86,94.99
2009M04,9,4519.21,40656.33,5231.04,47060.18,2.09,30139.63,52079.72,46358.49,5.72,13,8.57,75.8,95.42
2009M05,8.38,4947.93,41456.8,5185.04,43443.4,2.18,31556.98,55650.92,47600.68,4.61,11,8.7,79.84,95.7
2009M06,8.05,5348.97,43039.15,5606.19,45108.77,2.19,31600.65,53382.51,45023.13,4.33,11,8.88,82,95.99
2009M07,7.95,5591.78,44461.89,6769.65,53827.52,2.19,31612.43,53053.83,44346.3,4.33,11,9.11,83.44,96.98
2009M08,7.94,5025.91,39880.63,6002.06,47626.38,2.27,31601.67,53045.78,43512,4.11,10.5,8.8,89.9,97.27
2009M09,7.52,6054.28,45535.41,6403.29,48160.35,2.32,32251.21,52800.41,44579.34,3.92,10.5,8.7,91.73,97.55
2009M10,7.48,5891.8,44088.89,7656.58,57294.89,2.33,32721.66,52536.14,42245.6,3.93,10.5,9.11,94.12,97.55
2009M11,7.52,6100.17,45855.86,7452.62,56022.42,2.36,32870.52,53759.07,43151.83,3.78,10.5,9,96.66,97.55
2009M12,7.48,6065.55,45361.67,6522.37,48778.02,2.3,32431.84,51249.87,42138.66,3.69,10.5,9.03,95.66,97.83
2010M01,7.46,5663.29,42222.67,5775.89,43062.14,2.28,32309.73,50152.41,43232.92,3.98,10.5,9.24,97.37,98.12
2010M02,7.67,6060.12,46452.33,6331.84,48535.11,2.27,32210.37,49504.14,41813.88,3.91,10.5,9.11,94.22,98.69
2010M03,7.41,7655.01,56732.74,7319.67,54247.5,2.25,34779.28,52713.3,43300.27,3,10,8.92,99.14,99.54
2010M04,7.35,6648.61,48881.26,6635.44,48784.42,2.24,34887.72,46187.14,38142.94,3.73,10,8.75,102.16,99.54
2010M05,7.65,6898.79,52782.61,6571.87,50281.38,2.25,34400.92,44620.41,36636.05,2.63,10,8.97,96.08,99.82
