Field_ID,Elevation,Rainfall,Min_temperature_C,Max_temperature_C,pH,Pollution_level,Plot_size,Annual_yield,Crop_type
1162,494.95615,1507.6,-5.4,31.0,6.859435668861138,0.0070342158440208,3.6,1.6174206276458771,coffee
5108,663.7339,581.0,-4.7,30.9,5.603219232201785,0.28964298392516,4.2,2.532497367146888,potato
3504,396.8799,1715.1,-6.1,31.7,5.7741163717463415,0.0004087854870765,2.6,1.2622072284763295,banana
5351,594.8037,1748.0,-4.3,33.6,6.47741537738939,0.0887771895060556,7.9,4.351563687132063,wheat
905,609.498,1395.8,-4.5,31.3,5.419586358211655,0.0500225170733399,10.8,5.034791280425336,cassava
2274,270.451,1665.2,-7.2,34.3,5.873081619160732,0.0015447466836954,3.9,1.74345807248588,banana
3990,749.43427,728.0,-3.8,31.1,6.098061756073079,0.3307371231529829,2.7,1.404141885807768,maize
1148,753.99786,1258.5,-3.3,28.7,5.934154283249535,0.0382804701226289,8.2,4.628492548113356,wheat
2134,840.584,579.5,-3.1,28.1,5.697434167640267,0.2329205429643146,4.2,2.470871986746584,potato
5632,618.01624,888.0,-4.9,26.9,5.231630449795771,0.4996457827839787,0.7,0.3506035530052386,wheat
3526,701.1468,1354.3,-3.7,26.1,5.149978516119852,0.2160737086795805,14.9,6.439340421033914,wheat
1789,701.6991,581.4,-4.4,31.4,6.348242657498739,0.2402442023878147,1.6,0.9386986832338122,wheat
2337,739.63495,1160.8,-3.5,29.7,5.388973326160191,0.0621766142440851,3.2,1.4208033139166274,wheat
4807,520.2977,292.3,-6.3,32.9,5.379285800073401,0.1965892189415077,1.4,0.8815679013784199,potato
973,432.0357,1464.4,-6.0,30.2,7.482802464532021,0.0198002965904758,3.0,1.3774343279467036,wheat
4400,676.57086,1036.8,-4.2,29.1,5.34551631443809,0.1582397945888558,3.5,1.985430198261657,cassava
892,823.2931,598.1,-3.3,28.7,5.142679048949877,0.3103021840498628,2.2,1.3451570451297397,potato
361,588.61615,1051.7,-5.1,31.3,5.201006363374609,0.6602456808286977,4.6,1.9688735511448805,wheat
3803,500.45013,2009.6,-4.9,32.0,6.915591998106333,0.0145315745213741,2.9,1.4539189227399982,wheat
4469,460.93362,1718.2,-5.6,31.4,7.3835734256694385,0.2194806736251307,3.4,1.4545809261604288,wheat
2773,613.1408,1037.2,-4.8,29.5,5.486385658331299,0.7185542292491964,1.5,0.8133994136587291,potato
4131,516.66833,1095.4,-5.6,32.6,6.286629902063576,0.7001855693506001,1.2,0.572358084898878,maize
